Best, Mean
39.2,39.468
39.2,39.468
39.2,39.468
39.2,39.468
39.2,39.454
39.2,39.454
39.2,39.454
39.2,39.454
39.15,39.428
39.15,39.428
39.15,39.428
39.15,39.428
39.15,39.428
39.15,39.428
39.15,39.428
39.15,39.428
39.15,39.414
39.15,39.414
39.15,39.4
39.15,39.4
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.392
39.15,39.382
39.15,39.382
39.15,39.372
39.15,39.36
39.15,39.36
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.352
39.15,39.338
39.15,39.338
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.332
39.15,39.328
39.15,39.322
39.15,39.322
39.15,39.322
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.314
39.15,39.302
39.15,39.302
39.15,39.302
39.15,39.298
39.15,39.298
39.15,39.298
39.15,39.298
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.296
39.15,39.29
39.15,39.29
39.15,39.29
39.15,39.29
39.15,39.29
39.15,39.29
39.15,39.28
39.15,39.276
39.15,39.276
39.15,39.272
39.15,39.272
39.15,39.272
39.15,39.272
39.15,39.272
39.15,39.264
39.15,39.264
39.15,39.264
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.258
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.256
39.15,39.248
39.15,39.248
39.15,39.248
39.15,39.246
39.15,39.246
39.15,39.246
39.15,39.246
39.15,39.246
39.15,39.242
39.15,39.242
39.15,39.242
39.15,39.234
39.15,39.232
39.15,39.232
39.15,39.232
39.15,39.232
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.226
39.15,39.224
39.15,39.224
39.15,39.224
39.15,39.224
39.15,39.224
39.15,39.224
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.218
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.15,39.216
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.208
39.1,39.202
39.1,39.202
39.1,39.202
39.1,39.196
39.1,39.196
39.1,39.196
39.1,39.196
39.1,39.196
39.1,39.196
39.1,39.194
39.1,39.194
39.05,39.186
39.05,39.186
39.05,39.186
39.05,39.186
39.05,39.182
39.05,39.182
39.05,39.18
39.05,39.18
39.05,39.18
39.05,39.18
39.05,39.18
